Ra,feed_rate_mm,rpm,depth_mm,filepath
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000005.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e000003d.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000176.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e000025b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00002a7.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00002c9.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000317.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00004dd.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e000059a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00005d4.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00005eb.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e00007ad.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000837.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000904.au
